ID,Ulasan,Kelas
35,Kalau Bukalapak tidak segera berbenah tidak lama lagii pasti akan ditinggalkan pelapaknyadan customernya secara bertahap terus terang saya akan memindahkan lapak saya ke marketplace lain yang lbh nyaman dalam bertransaksi sebagai pelapak setelah sekian lama berkali2 dikecewakan dengan pelayanan admin BL yang sangat arogan sedangkan kerja team bukalapak sendrii tidak mau introspeksi  hari ini merupakan puncak kekecewaan saya mulai malam ini prepare bye bye dengan bukalapak,Negatif
36,Hi admin tadi saya topup saldo saya pilih pembayaran via Bri (Briva) saat saya mau melakukan tranfer via bri ternyata lagi ada gangguan jadi saya ubah metode pembayaran dari bri ke bca ternyata yang saya tranfer melalui bri sudah terkirim tapi metode pembayaran terlanjur sudah saya ubah menjadi BCA jadi sampe sekarang belum ada masuk ke akun dana BL saya,Negatif
37,Saya sangaaat kecewa dengan bukalapak. Pertama saya jual barang lalu penerima sudah konfirmasi tapi uang tdk langsung masuk ke bukadompet dan harus dikomplain dulu baru masuk. Kedua bukadompet saya tiba2 dibekukan tanpa ada pemberitahuan apapun. Saya tdk mengerti salah saya apa padahal saya mau cairkan uang itu karna sangat butuh sekali uangnya. Ketiga saya komplain di bukabantuan 4x mengenai bukadompet dibekukan tapi tidak ada satupun respon dari bukalapak. Tolong segera ditinjau,Negatif
38,nah gini dong min kan sama2 enak orang yg ikut serbu seru juga ga pada kesel kalo dananya dikembalikan dalam bntuk saldo buka dompet jgn di kembalikan dengan bentuk barang yg belum tentu semua orang suka ya sekalipun di ganti barang setidaknya para penyerbu punya hak untuk membatalkan barang pengganti saat serbuanya meleset jgn kaya kemarin dicancel malah di tolak sama lapak,Negatif
39,saya sangat kecewa dengan tanggung jawab bukalapak  saya di tipu pelapak 2jt rupiah. dan itu saya tidak tau kalo akum di hack. saya minta pertanggung jawaban bukalapak atas apa yg terjadi saya sudah lapor ke cs dan akun resmi di bukalapak. respon nya sangat tida jelas dan lelet akun di bukalapak penipu pun masih aktif. apa tanggung jawab BL jika pembeli terkena tipu di BL . apa ini semua salah dari pembeli ? apa semua penjual di BL itu rata2 seperti si penipu.saya sangat kapok berbelanja di BL,Negatif
40,Min apl error tuh dah log in dari 200 tahun lalu juga masih disuruh log in untuk lihat transaksi kode pembayaran benahin lah masak 5 sampe 6 digit top up dana kode pembacayaran sampe 245rb belanja kode sampe 79rb makin ngaco ini dah email BL dah ditutup lagi ada kendala suruh keforum katanya biar jadi pengguna yang cerdas saya mau laporan min bukan ngrumpi,Negatif
41,Saya tidak melakukan transaksi di bukamart saldo buka dompet saya malah terpotong 12000 karena ada notif transaksi sedang di proses saya minta untuk dibatalkan(karena saya merasa tidak melakukan transaksi sama sekali di bukamart) malah ditolak dengan alasan barang sudah dikirim mohon penjelasannya,Negatif
42,Banyak disini pelapak sifat nya menipu dengan alasan gambar postingan pelapak menggiurkan perbelanja setelah melakukan transaksi si konsumen kecewa dengan barang yang di terima tidak sesuai yg di Posting terhadap pelapak. Konsumen sangat di rugikan apa bila barang di kembali kn di kenakan biaya Ongkos kirim lagi. Disini pihak Buka Lapak harus lebih jeli lagi merekrut pelapak-pelapak yg berdagang di Situs ini. Harap di saring Pelapak yg tidak jelas,Negatif
43,ikut serbu emas tapi uang bukannya di kembalikan ke buka dompet malah ke buka emasgak semua orang mau apalagi ikhlas loh duitnya ilang gitu aja! harusnya ada konfirmasi antara mau di kembalikan ke buka dompet atau buka emasbiar gak terkesan maksa yang sama artinya gak berkah nyimpen duit orang.meski cuma Rp.8000 kalau di kali jutaan orang yang ikut serbu emas akan berapa banyak uang yg bukalapak ambil tanpa keikhlasan dari pemilik uangnya?,Negatif
44,"Beli celana sudah saya bayar kenapa tidak bisa terkonfirmasi otomatis , padahal saya transfer sama sampai digit angka terakhir , sudah upload bukti pembayaran pula lagi . Lama lama payah bukalapak . Dulu pernah beli pulsa 50000 . Tapi memang saya lupa transfer gak sampai digit angka terakhir . Tpi pihak buka lapak saya email gak ada balasan apa2 .",Negatif
45," Bnyk penipuan di aplikasi ini,harap hati",Negatif
46,SAYA KECEWA DENGAN BUKALAPAK,Negatif
47,"Tolong konfirmasi pembayaran di buka lapak diperbaiki, saya sudah melakukan pembayaran dan berhasil uang saya sudah masuk le rekening BRI pihak buka lapak namun tidak ada konfirmasi sampai pembayaran kadaluarsa dan tidak ada pengembalian, bagaimana kelanjutannya dari buka lapak ?",Negatif
48,"Dapet gratis ongkir, tapi ongkir tinggi. Katanya voucher 1Rp tapi pas dipake ""kuota voucher hari ini telah habis"" maksudnya apa coba??!",Negatif
49,"tolong buka dompet saya yang dibekukan diaktifkan lagi,,saya ini pembeli bukan penjual!!",Negatif
50,Gila bukalapak eror terus,Negatif
51,banyak akun PALSU,Negatif
52,"sampai hari ini gak ada tanggapan bagaimana tindha lanjut dari voucher yang tidak bisa dipakai saat saya isi pulsa. Minta dikirim bukti pembayaran ,sudah saya kirim, tapi tak ada tanggapan sama skali sampai skarang. Sungguh mengecewaka",Negatif
53,"Lebih dari 24jam barang tidak bergerak sama sekali. Giliran buka fitur ""BukaBantuan"" CSnya cuma nampilin status barang yang sebenarnya yang punya resipun juga bisa cek, dan mengarahkan ke ekspedisi.",Negatif
54,"aplikasi apaan ini error mulu, bikin kesel !! RAM gua udh 8GB. masa eror mulu udh update tetep sama ! ",Negatif
55,"Sekarang saya tiap belanja tidak bisa memasukan kode voucher,",Negatif
56,Aplikasi buka maling ni jangan di Download ntr nyesel.. Saya ngisi pulsa tidak masuk dan uang tidak kembali.,Negatif
57,"Ada kendala pembelian, si pelapak penipu dan saya membatalkan pembelian. Itu uang kapan kembali, sudah 4 hari jawaban cs hanya itu aja, malah kaya gw yang ngemis minta uang gw kembali. Itu manusia apa jin, parah amat kelakuan.",Negatif
58,Kenapa saya gak bisa daftar no telepon di aplikasi ini sehingga tidak dapat kode verifikasi nya.,Negatif
59,"hati2 buka lapak banyak penipu. saya rugi besar,pihak buka lapak ga bertanggung jawab,baru aplikasi kaya gini ,pihak buka lapak ga bertanggung jawab .",Negatif
60,aplikasinya EROR terooossss,Negatif
60,bukalapak jelek,Negatif
